Date,IncomingExaminations
1/1/06,362
2/1/06,436
3/1/06,926
4/1/06,490
5/1/06,508
6/1/06,901
7/1/06,393
8/1/06,596
9/1/06,634
10/1/06,613
11/1/06,545
12/1/06,411
1/1/07,398
2/1/07,311
3/1/07,664
4/1/07,680
5/1/07,507
6/1/07,467
7/1/07,566
8/1/07,806
9/1/07,732
10/1/07,886
11/1/07,776
12/1/07,698
1/1/08,875
2/1/08,840
3/1/08,724
4/1/08,1115
5/1/08,997
6/1/08,775
7/1/08,886
8/1/08,1041
9/1/08,1011
10/1/08,975
11/1/08,939
12/1/08,971.5
1/1/09,1004
2/1/09,1065
3/1/09,1263
4/1/09,962
5/1/09,1195.5
6/1/09,1429
7/1/09,1205
8/1/09,890
9/1/09,1320
10/1/09,1276
11/1/09,1757
12/1/09,1710
1/1/10,1710
2/1/10,1710
3/1/10,1578
4/1/10,1604
5/1/10,1758
6/1/10,1607.5
7/1/10,1457
8/1/10,1607
9/1/10,1808
10/1/10,1866
11/1/10,1934
12/1/10,2294
1/1/11,2314
2/1/11,2334
3/1/11,1973
4/1/11,2262
5/1/11,2259
6/1/11,2217
7/1/11,2739
8/1/11,2772
9/1/11,3383
10/1/11,2869
11/1/11,2239
12/1/11,2514
1/1/12,2789
2/1/12,3455
3/1/12,2940
4/1/12,2968
5/1/12,3466
6/1/12,3037
7/1/12,3946
8/1/12,3459
9/1/12,3446
10/1/12,3258
11/1/12,4729
12/1/12,3694
1/1/13,4610
2/1/13,4841
3/1/13,5172
4/1/13,4351
5/1/13,5344
6/1/13,4729
7/1/13,5014
8/1/13,4978
9/1/13,5008
10/1/13,6094
11/1/13,4874
12/1/13,5933
